Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-01-02,28638.970703125,28872.80078125,28627.76953125,28868.80078125,251820000,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,2862700000,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000
2020-01-03,28553.330078125,28716.310546875,28500.359375,28634.880859375,239590000,8976.4296875,9065.759765625,8976.4296875,9020.76953125,2586520000,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000
2020-01-06,28465.5,28708.01953125,28418.630859375,28703.380859375,252760000,8943.5,9072.41015625,8943.5,9071.4697265625,2810450000,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000
2020-01-07,28639.1796875,28685.5,28565.279296875,28583.6796875,258900000,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,2381740000,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000
2020-01-08,28556.140625,28866.1796875,28522.509765625,28745.08984375,291750000,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,2472620000,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000
2020-01-09,28851.970703125,28988.009765625,28844.310546875,28956.900390625,275060000,9202.26953125,9215.9501953125,9158.5,9203.4296875,2540960000,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000
2020-01-10,28977.51953125,29009.0703125,28789.099609375,28823.76953125,237830000,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,2382900000,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000
2020-01-13,28869.009765625,28909.91015625,28819.4296875,28907.05078125,249830000,9213.7197265625,9274.490234375,9193.0595703125,9273.9296875,2536820000,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000
2020-01-14,28895.5,29054.16015625,28872.26953125,28939.669921875,287440000,9270.6103515625,9298.330078125,9226.490234375,9251.330078125,2553160000,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000
2020-01-15,28901.80078125,29127.58984375,28897.349609375,29030.220703125,260270000,9253.759765625,9298.8203125,9231.1396484375,9258.7001953125,2443220000,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000
2020-01-16,29131.94921875,29300.3203125,29131.94921875,29297.640625,252110000,9313.4501953125,9357.919921875,9301.3203125,9357.1298828125,2312110000,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3540580000
2020-01-17,29313.310546875,29373.619140625,29289.91015625,29348.099609375,321820000,9392.3701171875,9393.48046875,9346.8095703125,9388.9404296875,2542540000,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000
2020-01-21,29269.05078125,29341.2109375,29146.470703125,29196.0390625,320640000,9361.0703125,9397.580078125,9350.2001953125,9370.8095703125,2686610000,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,4104840000
2020-01-22,29263.630859375,29320.19921875,29172.259765625,29186.26953125,283440000,9413.6103515625,9439.2900390625,9375.1298828125,9383.76953125,2454580000,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3623780000
2020-01-23,29111.01953125,29190.470703125,28966.98046875,29160.08984375,307060000,9377.7197265625,9409.2001953125,9334.1298828125,9402.48046875,2465850000,3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3766710000
2020-01-24,29230.390625,29288.7890625,28843.310546875,28989.73046875,380010000,9446.2099609375,9451.4296875,9273.23046875,9314.91015625,2622970000,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3708780000
2020-01-27,28542.490234375,28671.7890625,28440.470703125,28535.80078125,337270000,9092.4599609375,9185.4501953125,9088.0400390625,9139.3095703125,2593910000,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3831050000
2020-01-28,28594.279296875,28823.23046875,28575.75,28722.849609375,330140000,9201.8203125,9288.8701171875,9182.330078125,9269.6796875,2169020000,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3531570000
2020-01-29,28820.529296875,28944.240234375,28728.189453125,28734.44921875,302290000,9318.259765625,9329.1201171875,9249.0400390625,9275.16015625,2234620000,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3600250000
2020-01-30,28640.16015625,28879.7109375,28489.759765625,28859.439453125,326850000,9211.150390625,9303.0,9185.1796875,9298.9296875,2345370000,3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3790350000
2020-01-31,28813.0390625,28813.0390625,28169.529296875,28256.029296875,403890000,9324.330078125,9324.7998046875,9123.2197265625,9150.9404296875,2696090000,3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,4529700000
2020-02-03,28319.650390625,28630.390625,28319.650390625,28399.810546875,307910000,9190.7197265625,9299.849609375,9188.5498046875,9273.400390625,2427320000,3235.659912109375,3268.43994140625,3235.659912109375,3248.919921875,3760460000
2020-02-04,28696.740234375,28904.880859375,28696.740234375,28807.630859375,332750000,9398.3896484375,9485.3798828125,9374.0498046875,9467.9697265625,2447340000,3280.610107421875,3306.919921875,3280.610107421875,3297.590087890625,3996900000
2020-02-05,29048.73046875,29308.890625,29000.849609375,29290.849609375,357540000,9574.099609375,9574.9404296875,9454.9296875,9508.6796875,2470240000,3324.909912109375,3337.580078125,3313.75,3334.68994140625,4121480000
2020-02-06,29388.580078125,29408.05078125,29246.9296875,29379.76953125,263700000,9540.98046875,9575.66015625,9505.6796875,9572.150390625,2313860000,3344.919921875,3347.9599609375,3334.389892578125,3345.780029296875,3887250000
2020-02-07,29286.919921875,29286.919921875,29056.98046875,29102.509765625,252860000,9526.6396484375,9570.08984375,9496.5302734375,9520.509765625,2243720000,3335.5400390625,3341.419921875,3322.1201171875,3327.7099609375,3733920000
2020-02-10,28995.66015625,29278.0703125,28995.66015625,29276.8203125,250510000,9493.6298828125,9628.66015625,9493.6298828125,9628.3896484375,2187520000,3318.280029296875,3352.260009765625,3317.77001953125,3352.090087890625,3462730000
